ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),City_name,pickup_time,order_time_of_day,Day,Month,Year,is_weekend,Distance
0x2288 ,BANGRES09DEL03 ,32.0,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,Windy,jam,0,buffet,motorcycle,1,No ,metropolitian,47,Bangalore,15,Night,16,3,2022,0,13.990289988007921
0x3c5e ,PUNERES04DEL01 ,23.0,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,Windy,low,2,buffet,electric_scooter,0,No ,urban,12,Pune,10,Night,2,4,2022,1,16.874252574772566
0x3e60 ,COIMBRES02DEL03 ,31.0,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,Sandstorms,low,2,drinks,motorcycle,1,No ,metropolitian,26,Coimbatore,15,Night,1,4,2022,0,4.679894701121749
0xbff ,SURRES16DEL02 ,36.0,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,Stormy,low,0,drinks,motorcycle,1,No ,urban,22,Surat,5,Night,5,3,2022,1,7.610923412146992
0xd936 ,GOARES15DEL02 ,26.0,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,Sandstorms,low,0,buffet,motorcycle,0,No ,urban,21,Goa,10,Night,11,2,2022,0,7.729776387957833
0xd681 ,GOARES07DEL01 ,38.0,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,Cloudy,high,1,drinks,scooter,1,No ,urban,25,Goa,5,Afternoon,11,2,2022,0,6.183197077519065
0x2876 ,RANCHIRES02DEL01 ,32.0,3.5,,,,,2022-03-08,Stormy,jam,1,snack,scooter,0,No ,urban,35,Ranchi,10,Night,8,3,2022,0,
0x30c8 ,PUNERES19DEL02 ,32.0,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,Cloudy,low,2,drinks,scooter,1,No ,metropolitian,30,Pune,10,Night,2,4,2022,1,19.939068468987333
0xb843 ,PUNERES02DEL01 ,33.0,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,Sunny,medium,1,snack,motorcycle,1,No ,metropolitian,22,Pune,15,Evening,8,3,2022,0,10.737647748851117
0xb3a0 ,PUNERES18DEL01 ,20.0,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,Windy,high,1,snack,scooter,0,No ,urban,10,Pune,10,Afternoon,3,4,2022,1,6.135337746914693
0x6531 ,SURRES08DEL01 ,20.0,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,Sandstorms,low,2,meal,scooter,1,No ,metropolitian,19,Surat,10,Morning,30,3,2022,0,1.522218681013962
0x4bda ,HYDRES17DEL02 ,35.0,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,Sunny,low,2,snack,scooter,1,No ,urban,11,Hyderabad,10,Morning,1,4,2022,0,3.0772165834482306
0x9d26 ,BANGRES17DEL02 ,26.0,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,Stormy,low,2,buffet,scooter,0,No ,metropolitian,11,Bangalore,15,Morning,28,3,2022,0,3.1089330839766602
0x9b18 ,BANGRES17DEL01 ,22.0,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,Fog,low,1,snack,motorcycle,1,No ,metropolitian,28,Bangalore,10,Night,18,3,2022,0,10.880731799018308
0x5d99 ,CHENRES11DEL01 ,35.0,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,Cloudy,medium,1,snack,motorcycle,1,No ,metropolitian,33,Chennai,5,Evening,14,3,2022,0,10.878767165785945
0x4f0 ,MUMRES17DEL02 ,,,19.121999,72.908493,19.201999,72.988493,2022-04-06,Cloudy,medium,1,drinks,scooter,1,No ,metropolitian,33,Mumbai,0,0,6,4,2022,0,12.251705007525693
0xb796 ,SURRES17DEL03 ,37.0,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,Sandstorms,jam,0,snack,motorcycle,3,No ,metropolitian,52,Surat,5,Evening,4,4,2022,0,13.699267770461951
0x85b4 ,MUMRES07DEL01 ,28.0,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,Stormy,jam,1,snack,scooter,1,No ,metropolitian,22,Mumbai,15,Evening,8,3,2022,0,16.84684197550481
0xc644 ,KOLRES16DEL02 ,37.0,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,Fog,low,1,snack,scooter,1,No ,urban,16,Kolkata,5,Morning,13,2,2022,1,3.0309431689501185
0x6999 ,MUMRES02DEL03 ,23.0,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,Sunny,jam,2,drinks,electric_scooter,0,No ,metropolitian,11,Mumbai,5,Night,24,3,2022,0,9.186427011702893
0x63b6 ,BANGRES05DEL03 ,27.0,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,Windy,medium,1,drinks,scooter,1,No ,metropolitian,25,Bangalore,15,Evening,19,3,2022,1,9.326473594149496
0xa30b ,CHENRES11DEL01 ,37.0,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,Cloudy,medium,0,drinks,motorcycle,1,No ,urban,26,Chennai,10,Afternoon,9,3,2022,0,6.21662279121456
0x3556 ,SURRES09DEL01 ,33.0,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,Sunny,high,2,snack,scooter,1,No ,metropolitian,18,Surat,10,Morning,19,3,2022,1,1.5222060773964032
0x5554 ,RANCHIRES15DEL01 ,31.0,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,Fog,medium,1,snack,motorcycle,1,No ,metropolitian,16,Ranchi,5,Afternoon,3,4,2022,1,6.044616752198838
0x25fd ,BANGRES19DEL01 ,31.0,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,Stormy,low,2,drinks,scooter,1,No ,metropolitian,23,Bangalore,10,Night,25,3,2022,0,17.099574867551986
0xc1ff ,AURGRES20DEL03 ,25.0,5.0,,,,,2022-02-13,Cloudy,low,0,snack,motorcycle,0,No ,metropolitian,15,Aurangabad,15,Night,13,2,2022,1,
0x7ac8 ,COIMBRES14DEL02 ,28.0,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,Sandstorms,jam,0,drinks,motorcycle,1,No ,metropolitian,36,Coimbatore,10,Night,4,4,2022,0,12.479589346133253
0x3da1 ,SURRES08DEL03 ,31.0,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,Cloudy,low,2,snack,motorcycle,0,No ,metropolitian,16,Surat,15,Night,26,3,2022,1,9.132593322238293
0x272d ,COIMBRES07DEL03 ,24.0,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,Sunny,medium,0,buffet,motorcycle,0,No ,urban,19,Coimbatore,5,Evening,10,3,2022,0,14.040400692082494
0xddc5 ,AGRRES12DEL03 ,39.0,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,Sunny,low,1,snack,motorcycle,1,No ,metropolitian,27,Agra,15,Night,14,2,2022,0,13.409008819775105
0x8e6c ,VADRES02DEL02 ,39.0,4.2,,,,,2022-03-02,Fog,jam,2,snack,scooter,1,No ,semi-urban,49,Vadodara,15,Night,2,3,2022,0,
0xb002 ,JAPRES14DEL01 ,32.0,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,Windy,low,2,buffet,scooter,0,No ,,20,Jaipur,15,Morning,26,3,2022,1,1.4917512751630049
0x395b ,VADRES04DEL03 ,36.0,4.7,,,,,2022-03-13,Cloudy,jam,1,snack,motorcycle,1,No ,metropolitian,30,Vadodara,5,Night,13,3,2022,1,
0x8aa2 ,JAPRES18DEL02 ,25.0,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,Sandstorms,low,1,drinks,scooter,0,No ,urban,18,Jaipur,10,Night,29,3,2022,0,11.931172282255352
0xb55a ,MYSRES04DEL03 ,33.0,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,Sunny,jam,2,drinks,scooter,0,No ,metropolitian,22,Mysore,5,Night,30,3,2022,0,4.669276281820943
0x73cc ,SURRES12DEL01 ,30.0,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,Cloudy,low,2,drinks,scooter,1,No ,metropolitian,34,Surat,15,Night,12,3,2022,1,10.65418567340386
0xbe80 ,MUMRES04DEL01 ,33.0,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,Sandstorms,low,0,buffet,motorcycle,0,No ,urban,24,Mumbai,5,Night,31,3,2022,0,16.838959612495547
0x1609 ,PUNERES02DEL01 ,36.0,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,Fog,medium,2,drinks,scooter,1,No ,metropolitian,17,Pune,15,Afternoon,17,3,2022,0,6.13605442814631
0xd255 ,ALHRES07DEL02 ,21.0,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,Sandstorms,low,2,meal,electric_scooter,0,No ,metropolitian,14,Allahabad,10,Morning,15,2,2022,0,2.9999183386547905
0xde72 ,DEHRES19DEL02 ,39.0,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,Stormy,jam,2,meal,motorcycle,1,No ,metropolitian,30,Delhi,5,Night,15,2,2022,0,7.3511647311119654
0x98aa ,VADRES16DEL02 ,23.0,4.8,,,,,2022-03-07,Stormy,low,1,meal,scooter,1,No ,metropolitian,15,Vadodara,10,Morning,7,3,2022,0,
0x273a ,VADRES09DEL01 ,35.0,4.8,,,,,2022-03-28,Fog,medium,2,buffet,scooter,1,No ,urban,16,Vadodara,10,Afternoon,28,3,2022,0,
0xa258 ,CHENRES12DEL03 ,39.0,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,Cloudy,jam,1,snack,scooter,1,No ,metropolitian,36,Chennai,5,Night,16,3,2022,0,13.989230015027683
0x8b53 ,SURRES11DEL01 ,22.0,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,Sunny,high,1,buffet,scooter,1,No ,urban,18,Surat,5,Afternoon,17,3,2022,0,6.088886289759345
0xbbde ,SURRES01DEL01 ,32.0,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,Fog,medium,1,meal,scooter,0,No ,metropolitian,17,Surat,15,Afternoon,15,3,2022,0,6.088336328885024
0x5ded ,VADRES15DEL02 ,24.0,4.8,,,,,2022-03-25,Sandstorms,low,1,buffet,motorcycle,1,No ,urban,15,Vadodara,5,Night,25,3,2022,0,
0x1a70 ,MYSRES14DEL02 ,29.0,4.7,,,,,2022-03-09,Fog,low,0,buffet,motorcycle,1,No ,metropolitian,17,Mysore,10,Morning,9,3,2022,0,
0xa9f ,BANGRES13DEL01 ,,,12.935662,77.61413,12.975662,77.65413,2022-03-11,,,1,drinks,scooter,0,No ,metropolitian,19,Bangalore,0,0,11,3,2022,0,6.218193220076564
0x4b7f ,HYDRES13DEL03 ,26.0,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,Fog,low,1,buffet,motorcycle,0,No ,metropolitian,10,Hyderabad,15,Night,5,3,2022,1,9.231661548025198
0xc606 ,BHPRES12DEL02 ,20.0,4.5,,,,,2022-02-11,Fog,jam,1,drinks,motorcycle,1,No ,metropolitian,27,Bhopal,15,Night,11,2,2022,0,
0xb962 ,CHENRES11DEL03 ,35.0,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,Sandstorms,jam,1,buffet,motorcycle,2,No ,metropolitian,37,Chennai,15,Night,12,3,2022,1,13.98670938335669
0x633c ,BANGRES010DEL03 ,39.0,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,Fog,jam,1,drinks,scooter,2,No ,metropolitian,44,Bangalore,10,Night,29,3,2022,0,13.990314136363942
0x2dc6 ,VADRES20DEL01 ,34.0,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,Windy,high,2,drinks,electric_scooter,1,No ,metropolitian,28,Vadodara,10,Afternoon,19,3,2022,1,6.066271691149744
0x903a ,BANGRES11DEL01 ,27.0,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,Cloudy,jam,2,snack,scooter,1,No ,metropolitian,42,Bangalore,15,Night,10,3,2022,0,17.098901417893664
0xc444 ,DEHRES01DEL01 ,30.0,4.8,,,,,2022-02-16,Windy,low,1,snack,motorcycle,1,No ,metropolitian,25,Delhi,15,Night,16,2,2022,0,
0x1fb7 ,CHENRES02DEL01 ,25.0,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,Cloudy,medium,2,snack,scooter,1,No ,metropolitian,39,Chennai,5,Evening,27,3,2022,1,17.093774182543402
0x34d7 ,MUMRES04DEL01 ,25.0,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,Stormy,medium,0,meal,motorcycle,0,No ,urban,20,Mumbai,5,Evening,27,3,2022,1,16.838959612495547
0x156b ,JAPRES03DEL02 ,30.0,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,Stormy,high,1,buffet,motorcycle,1,No ,metropolitian,31,Jaipur,5,Morning,24,3,2022,0,2.983150649090366
0x56ad ,HYDRES04DEL03 ,24.0,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,Stormy,jam,1,buffet,motorcycle,0,No ,metropolitian,13,Hyderabad,10,Night,9,3,2022,0,9.232155058593296
0x837c ,PUNERES14DEL02 ,39.0,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,Stormy,jam,1,meal,motorcycle,,No ,metropolitian,28,Pune,15,Night,3,3,2022,0,7.670710883381827
0xcbc4 ,GOARES04DEL01 ,25.0,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,Windy,high,1,snack,scooter,1,No ,urban,19,Goa,5,Afternoon,15,2,2022,0,6.183076763114423
0xc19e ,AURGRES08DEL02 ,37.0,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,Fog,low,0,buffet,motorcycle,2,Yes ,urban,42,Aurangabad,15,Night,18,2,2022,0,12.224805059228519
0x1d60 ,BANGRES12DEL01 ,24.0,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,Fog,low,0,drinks,motorcycle,1,No ,metropolitian,23,Bangalore,5,Morning,1,3,2022,0,1.5545822547692139
0x95fb ,HYDRES05DEL01 ,25.0,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,Stormy,jam,0,meal,motorcycle,1,No ,metropolitian,39,Hyderabad,15,Night,23,3,2022,0,16.923500798243477
0x8195 ,RANCHIRES17DEL01 ,32.0,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,Stormy,low,2,drinks,motorcycle,1,No ,metropolitian,25,Ranchi,10,Morning,1,4,2022,0,1.5112056714364321
0xc042 ,AGRRES010DEL01 ,34.0,4.7,27.163303,78.057044,27.233303,78.127044,2022-02-16,Sandstorms,low,1,drinks,scooter,0,No ,metropolitian,15,Agra,5,Night,16,2,2022,0,10.429717288100829
0x6d19 ,INDORES12DEL02 ,38.0,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,Cloudy,low,2,drinks,scooter,1,No ,urban,15,Indore,15,Morning,11,3,2022,0,3.0288222854660107
0x35e6 ,JAPRES15DEL03 ,36.0,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,Sunny,medium,2,buffet,electric_scooter,0,No ,metropolitian,15,Jaipur,5,Evening,14,3,2022,0,13.423506964447261
0xb437 ,SURRES16DEL01 ,25.0,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,Stormy,jam,1,meal,motorcycle,,No ,metropolitian,15,Surat,15,Night,18,3,2022,0,16.742448724137677
0x97e3 ,MYSRES16DEL02 ,29.0,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,Sunny,low,0,drinks,motorcycle,0,No ,metropolitian,18,Mysore,5,Night,1,4,2022,0,7.781859256224023
0xa3e0 ,MUMRES05DEL03 ,36.0,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,Sandstorms,low,2,drinks,electric_scooter,0,No ,metropolitian,29,Mumbai,10,Night,4,4,2022,0,13.790600811396512
0x4161 ,COIMBRES19DEL02 ,33.0,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,Fog,low,0,snack,motorcycle,0,No ,metropolitian,20,Coimbatore,5,Night,11,3,2022,0,7.799696400219992
0x1236 ,MYSRES07DEL01 ,36.0,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,Cloudy,high,2,meal,scooter,1,No ,metropolitian,39,Mysore,15,Afternoon,13,3,2022,1,6.225446878346661
0x2558 ,PUNERES17DEL01 ,21.0,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,Windy,low,0,snack,motorcycle,0,No ,metropolitian,19,Pune,15,Night,4,3,2022,0,16.873467766776365
0x3185 ,HYDRES19DEL03 ,25.0,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,Cloudy,low,1,snack,scooter,1,No ,urban,19,Hyderabad,15,Night,26,3,2022,1,4.615679658582476
0x3c57 ,MUMRES14DEL02 ,23.0,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,Windy,low,0,meal,motorcycle,0,No ,metropolitian,17,Mumbai,10,Night,16,3,2022,0,19.90420955511008
0x4863 ,COIMBRES02DEL01 ,25.0,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,Stormy,low,2,snack,motorcycle,1,No ,urban,15,Coimbatore,15,Morning,1,3,2022,0,1.5599909531042473
0x6757 ,INDORES05DEL02 ,24.0,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,Sandstorms,low,0,meal,motorcycle,0,No ,urban,19,Indore,15,Morning,15,3,2022,0,3.0290366125142394
0x22ad ,BANGRES03DEL03 ,27.0,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,Sandstorms,jam,0,buffet,motorcycle,1,No ,metropolitian,29,Bangalore,15,Night,4,3,2022,0,13.98905478373567
0x9f99 ,MUMRES11DEL01 ,23.0,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,Cloudy,low,2,snack,scooter,1,No ,urban,22,Mumbai,5,Night,18,3,2022,0,16.851511589179644
0x6781 ,MYSRES12DEL02 ,21.0,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,Fog,jam,1,drinks,scooter,0,No ,metropolitian,42,Mysore,10,Night,23,3,2022,0,20.232538291706167
0x1b8d ,SURRES09DEL02 ,27.0,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,Sandstorms,low,2,snack,scooter,0,No ,urban,12,Surat,15,Morning,15,3,2022,0,3.044364272051006
0x1aea ,COIMBRES12DEL02 ,32.0,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,Cloudy,jam,1,snack,motorcycle,1,No ,metropolitian,38,Coimbatore,10,Night,8,3,2022,0,20.278582020180323
0x1e42 ,SURRES08DEL01 ,25.0,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,Sunny,low,0,drinks,motorcycle,1,No ,metropolitian,23,Surat,15,Night,10,3,2022,0,16.741767852348797
0xddc8 ,KNPRES05DEL02 ,39.0,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,Cloudy,low,1,meal,scooter,0,No ,metropolitian,15,Kanpur,15,Morning,11,2,2022,0,2.9882047695215403
0x24ac ,SURRES05DEL02 ,27.0,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,Sunny,low,0,snack,motorcycle,1,No ,metropolitian,24,Surat,5,Night,14,3,2022,0,12.176339766320318
0x3f01 ,MUMRES15DEL01 ,39.0,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,Windy,jam,1,drinks,motorcycle,0,No ,metropolitian,37,Mumbai,5,Evening,16,3,2022,0,16.84275093361933
0x628c ,BANGRES15DEL02 ,31.0,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,Sandstorms,low,1,snack,scooter,0,No ,metropolitian,24,Bangalore,10,Night,1,3,2022,0,7.772060584241638
0x6c38 ,RANCHIRES11DEL03 ,31.0,4.8,23.359194,85.325447,23.419194,85.385447,2022-03-01,Sunny,low,2,buffet,electric_scooter,0,No ,metropolitian,13,Ranchi,5,Night,1,3,2022,0,9.066942223423236
0x4beb ,MYSRES08DEL01 ,20.0,4.8,12.297954,76.665169,12.307954,76.675169,2022-03-30,Cloudy,low,0,drinks,motorcycle,0,No ,,16,Mysore,15,Morning,30,3,2022,0,1.5564849306042938
0x8339 ,RANCHIRES07DEL02 ,36.0,4.9,23.359407,85.325055,23.439407,85.405055,2022-03-02,Cloudy,medium,0,drinks,motorcycle,1,No ,urban,42,Ranchi,10,Evening,2,3,2022,0,12.08882972547211
0x3ec5 ,RANCHIRES01DEL03 ,20.0,4.9,23.416792,85.316842,23.506792,85.406842,2022-03-20,Sandstorms,low,0,meal,motorcycle,1,No ,metropolitian,17,Ranchi,10,Night,20,3,2022,1,13.597000295507728
0xadb4 ,JAPRES17DEL03 ,24.0,4.6,26.892312,75.806896,26.922313,75.836896,2022-04-03,Cloudy,jam,0,drinks,motorcycle,0,No ,metropolitian,25,Jaipur,15,Night,3,4,2022,1,4.475093020294171
0x6e2 ,VADRES06DEL01 ,,,22.31279,73.170283,22.42279,73.280283,2022-04-02,,,3,snack,electric_scooter,0,No ,metropolitian,25,Vadodara,0,0,2,4,2022,1,16.680234918866457
